episode,block,version,first_version_in_block,block_started_utc,policy,final_status,report_flag,decision_rule,attempts_consumed,consumed_attempt_ids,research_only_attempt_ids,prefix_categories,indicator,indicator_value,prefix_elapsed_s,indeterminate_reason
etcd5509,17,V_bad,V_bad,2026-09-22T21:53:09.025271Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq97:910aa676327b,a2:seq98:e44f01f82892 a3:seq99:0a404676e3c3,PASS,S,0,0.642,
etcd5509,17,V_bad,V_bad,2026-09-22T21:53:09.025271Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq97:910aa676327b,a2:seq98:e44f01f82892 a3:seq99:0a404676e3c3,PASS,S,0,0.642,
etcd5509,17,V_bad,V_bad,2026-09-22T21:53:09.025271Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq97:910aa676327b,a2:seq98:e44f01f82892 a3:seq99:0a404676e3c3,PASS,S,0,0.642,
etcd5509,17,V_ok,V_bad,2026-09-22T21:54:36.517086Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq100:f375ddfeef6c,a2:seq101:02346ee82739 a3:seq102:9de186435db3,PASS,N,0,0.645,
etcd5509,17,V_ok,V_bad,2026-09-22T21:54:36.517086Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq100:f375ddfeef6c,a2:seq101:02346ee82739 a3:seq102:9de186435db3,PASS,N,0,0.645,
etcd5509,17,V_ok,V_bad,2026-09-22T21:54:36.517086Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq100:f375ddfeef6c,a2:seq101:02346ee82739 a3:seq102:9de186435db3,PASS,N,0,0.645,
etcd5509,18,V_bad,V_bad,2026-09-22T21:54:39.033040Z,P1,BLOCK,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq103:f12c2d71fe28,a2:seq104:40d55de0012b a3:seq105:b8b4a774667d,FOCAL_DEFECT_WITNESS,S,1,43.427,
etcd5509,18,V_bad,V_bad,2026-09-22T21:54:39.033040Z,P3,BLOCK,,P3: stop at first zero and accept; block after 3 nonzero,3,a1:seq103:f12c2d71fe28 a2:seq104:40d55de0012b a3:seq105:b8b4a774667d,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,S,1,130.268,
etcd5509,18,V_bad,V_bad,2026-09-22T21:54:39.033040Z,P3-retain,BLOCK,,P3-retain: P3's prefix and decision; accept after a failure is flagged,3,a1:seq103:f12c2d71fe28 a2:seq104:40d55de0012b a3:seq105:b8b4a774667d,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,S,1,130.268,
etcd5509,18,V_ok,V_bad,2026-09-22T21:56:49.303499Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq106:c77e0213b08c,a2:seq107:d278302cd633 a3:seq108:5c742d482911,PASS,N,0,0.633,
etcd5509,18,V_ok,V_bad,2026-09-22T21:56:49.303499Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq106:c77e0213b08c,a2:seq107:d278302cd633 a3:seq108:5c742d482911,PASS,N,0,0.633,
etcd5509,18,V_ok,V_bad,2026-09-22T21:56:49.303499Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq106:c77e0213b08c,a2:seq107:d278302cd633 a3:seq108:5c742d482911,PASS,N,0,0.633,
etcd5509,19,V_bad,V_bad,2026-09-22T21:56:51.963811Z,P1,BLOCK,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq109:8b2c2b72e14a,a2:seq110:1426c6a9d9d1 a3:seq111:e7445c0d6ca5,FOCAL_DEFECT_WITNESS,S,1,43.447,
etcd5509,19,V_bad,V_bad,2026-09-22T21:56:51.963811Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,3,a1:seq109:8b2c2b72e14a a2:seq110:1426c6a9d9d1 a3:seq111:e7445c0d6ca5,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | PASS,S,0,87.576,
etcd5509,19,V_bad,V_bad,2026-09-22T21:56:51.963811Z,P3-retain,ACCEPT,ACCEPT_WITH_PRIOR_FAILURE,P3-retain: P3's prefix and decision; accept after a failure is flagged,3,a1:seq109:8b2c2b72e14a a2:seq110:1426c6a9d9d1 a3:seq111:e7445c0d6ca5,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | PASS,S,0,87.576,
etcd5509,19,V_ok,V_bad,2026-09-22T21:58:19.542310Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq112:3381d7fb26af,a2:seq113:1d23c4294ff3 a3:seq114:ff5e76e76f8e,PASS,N,0,0.668,
etcd5509,19,V_ok,V_bad,2026-09-22T21:58:19.542310Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq112:3381d7fb26af,a2:seq113:1d23c4294ff3 a3:seq114:ff5e76e76f8e,PASS,N,0,0.668,
etcd5509,19,V_ok,V_bad,2026-09-22T21:58:19.542310Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq112:3381d7fb26af,a2:seq113:1d23c4294ff3 a3:seq114:ff5e76e76f8e,PASS,N,0,0.668,
etcd5509,20,V_bad,V_ok,2026-09-22T21:58:24.268489Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq118:68882688cbfa,a2:seq119:9e16143eece9 a3:seq120:507ad252f768,PASS,S,0,0.67,
etcd5509,20,V_bad,V_ok,2026-09-22T21:58:24.268489Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq118:68882688cbfa,a2:seq119:9e16143eece9 a3:seq120:507ad252f768,PASS,S,0,0.67,
etcd5509,20,V_bad,V_ok,2026-09-22T21:58:24.268489Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq118:68882688cbfa,a2:seq119:9e16143eece9 a3:seq120:507ad252f768,PASS,S,0,0.67,
etcd5509,20,V_ok,V_ok,2026-09-22T21:58:22.285682Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq115:58ff35d8f706,a2:seq116:5c8caf7c8520 a3:seq117:ab91b1df8775,PASS,N,0,0.675,
etcd5509,20,V_ok,V_ok,2026-09-22T21:58:22.285682Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq115:58ff35d8f706,a2:seq116:5c8caf7c8520 a3:seq117:ab91b1df8775,PASS,N,0,0.675,
etcd5509,20,V_ok,V_ok,2026-09-22T21:58:22.285682Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq115:58ff35d8f706,a2:seq116:5c8caf7c8520 a3:seq117:ab91b1df8775,PASS,N,0,0.675,
