episode,block,version,first_version_in_block,block_started_utc,policy,final_status,report_flag,decision_rule,attempts_consumed,consumed_attempt_ids,research_only_attempt_ids,prefix_categories,indicator,indicator_value,prefix_elapsed_s,indeterminate_reason
etcd5509,4,V_ok,V_ok,2026-09-22T21:26:00.520643Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq19:120b29f0ad7a,a2:seq20:77cbc222c6bc a3:seq21:adae2f9e5742,PASS,N,0,0.645,
etcd5509,5,V_bad,V_ok,2026-09-22T21:28:15.714683Z,P1,BLOCK,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq28:5570faacb3f7,a2:seq29:e7c3550d051c a3:seq30:a95fe7d3ef64,FOCAL_DEFECT_WITNESS,S,1,43.514,
etcd5509,5,V_bad,V_ok,2026-09-22T21:28:15.714683Z,P3,BLOCK,,P3: stop at first zero and accept; block after 3 nonzero,3,a1:seq28:5570faacb3f7 a2:seq29:e7c3550d051c a3:seq30:a95fe7d3ef64,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,S,1,130.603,
etcd5509,5,V_bad,V_ok,2026-09-22T21:28:15.714683Z,P3-retain,BLOCK,,P3-retain: P3's prefix and decision; accept after a failure is flagged,3,a1:seq28:5570faacb3f7 a2:seq29:e7c3550d051c a3:seq30:a95fe7d3ef64,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,S,1,130.603,
etcd5509,5,V_ok,V_ok,2026-09-22T21:28:13.726310Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq25:0611aead080c,a2:seq26:53002ddfe1e9 a3:seq27:c4cfb5943798,PASS,N,0,0.672,
etcd5509,5,V_ok,V_ok,2026-09-22T21:28:13.726310Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq25:0611aead080c,a2:seq26:53002ddfe1e9 a3:seq27:c4cfb5943798,PASS,N,0,0.672,
etcd5509,5,V_ok,V_ok,2026-09-22T21:28:13.726310Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq25:0611aead080c,a2:seq26:53002ddfe1e9 a3:seq27:c4cfb5943798,PASS,N,0,0.672,
etcd5509,6,V_bad,V_ok,2026-09-22T21:30:30.327476Z,P1,BLOCK,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq34:b0d2e22d4843,a2:seq35:7816efa5fcda a3:seq36:b7ab7d884f67,FOCAL_DEFECT_WITNESS,S,1,43.481,
etcd5509,6,V_bad,V_ok,2026-09-22T21:30:30.327476Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,2,a1:seq34:b0d2e22d4843 a2:seq35:7816efa5fcda,a3:seq36:b7ab7d884f67,FOCAL_DEFECT_WITNESS | PASS,S,0,44.144,
etcd5509,6,V_bad,V_ok,2026-09-22T21:30:30.327476Z,P3-retain,ACCEPT,ACCEPT_WITH_PRIOR_FAILURE,P3-retain: P3's prefix and decision; accept after a failure is flagged,2,a1:seq34:b0d2e22d4843 a2:seq35:7816efa5fcda,a3:seq36:b7ab7d884f67,FOCAL_DEFECT_WITNESS | PASS,S,0,44.144,
