version,attempt,start_utc,end_utc,elapsed_s,exit,classification
V_bad,1,2026-09-25T08:22:27.645186400Z,2026-09-25T08:22:47.333106900Z,19.687,1,FOCAL_DEFECT_WITNESS_A
V_bad,2,2026-09-25T08:22:47.508722300Z,2026-09-25T08:23:07.349128900Z,19.838,1,FOCAL_DEFECT_WITNESS_A
V_bad,3,2026-09-25T08:23:07.518003100Z,2026-09-25T08:23:27.355476600Z,19.838,1,FOCAL_DEFECT_WITNESS_A
V_bad,4,2026-09-25T08:23:27.533866600Z,2026-09-25T08:23:47.260996100Z,19.726,1,FOCAL_DEFECT_WITNESS_A
V_bad,5,2026-09-25T08:23:47.424418700Z,2026-09-25T08:24:07.140515900Z,19.716,1,FOCAL_DEFECT_WITNESS_A
V_bad,6,2026-09-25T08:24:07.318308700Z,2026-09-25T08:24:27.081022200Z,19.762,1,FOCAL_DEFECT_WITNESS_A
V_bad,7,2026-09-25T08:24:27.247122400Z,2026-09-25T08:24:46.937795100Z,19.689,1,FOCAL_DEFECT_WITNESS_A
V_bad,8,2026-09-25T08:24:47.104196800Z,2026-09-25T08:25:06.977279100Z,19.873,1,FOCAL_DEFECT_WITNESS_A
V_bad,9,2026-09-25T08:25:07.151397700Z,2026-09-25T08:25:26.899935300Z,19.749,1,FOCAL_DEFECT_WITNESS_A
V_bad,10,2026-09-25T08:25:27.065761900Z,2026-09-25T08:25:27.696843300Z,0.630,0,PASS
V_ok,1,2026-09-25T08:25:27.850351800Z,2026-09-25T08:25:28.524607400Z,0.675,0,PASS
V_ok,2,2026-09-25T08:25:28.697735000Z,2026-09-25T08:25:29.305158600Z,0.607,0,PASS
V_ok,3,2026-09-25T08:25:29.457986800Z,2026-09-25T08:25:30.042126000Z,0.584,0,PASS
V_ok,4,2026-09-25T08:25:30.205152600Z,2026-09-25T08:25:30.823719700Z,0.619,0,PASS
V_ok,5,2026-09-25T08:25:30.966771900Z,2026-09-25T08:25:31.574795700Z,0.608,0,PASS
V_ok,6,2026-09-25T08:25:31.719172100Z,2026-09-25T08:25:32.302768000Z,0.584,0,PASS
V_ok,7,2026-09-25T08:25:32.449869100Z,2026-09-25T08:25:33.079661900Z,0.628,0,PASS
V_ok,8,2026-09-25T08:25:33.238029000Z,2026-09-25T08:25:33.880127400Z,0.642,0,PASS
V_ok,9,2026-09-25T08:25:34.038523400Z,2026-09-25T08:25:34.677451200Z,0.641,0,PASS
V_ok,10,2026-09-25T08:25:34.830050200Z,2026-09-25T08:25:35.461076600Z,0.632,0,PASS
V_bad,11,2026-09-25T08:25:35.606644700Z,2026-09-25T08:25:55.403863000Z,19.795,1,FOCAL_DEFECT_WITNESS_A
V_bad,12,2026-09-25T08:25:55.566095400Z,2026-09-25T08:26:15.271965300Z,19.704,1,FOCAL_DEFECT_WITNESS_A
V_bad,13,2026-09-25T08:26:15.441711100Z,2026-09-25T08:26:35.170156400Z,19.729,1,FOCAL_DEFECT_WITNESS_A
V_bad,14,2026-09-25T08:26:35.342149200Z,2026-09-25T08:26:55.213496900Z,19.869,1,FOCAL_DEFECT_WITNESS_A
V_bad,15,2026-09-25T08:26:55.388364200Z,2026-09-25T08:27:15.121743000Z,19.733,1,FOCAL_DEFECT_WITNESS_A
V_bad,16,2026-09-25T08:27:15.289896900Z,2026-09-25T08:27:34.884347800Z,19.594,1,FOCAL_DEFECT_WITNESS_A
V_bad,17,2026-09-25T08:27:35.050055300Z,2026-09-25T08:27:35.665637100Z,0.614,0,PASS
V_bad,18,2026-09-25T08:27:35.805364200Z,2026-09-25T08:27:55.630441000Z,19.824,1,FOCAL_DEFECT_WITNESS_A
V_bad,19,2026-09-25T08:27:55.797225800Z,2026-09-25T08:28:15.509418000Z,19.711,1,FOCAL_DEFECT_WITNESS_A
V_bad,20,2026-09-25T08:28:15.677403900Z,2026-09-25T08:28:35.354194300Z,19.674,1,FOCAL_DEFECT_WITNESS_A
V_ok,11,2026-09-25T08:28:35.525520000Z,2026-09-25T08:28:36.151498400Z,0.624,0,PASS
V_ok,12,2026-09-25T08:28:36.302444500Z,2026-09-25T08:28:36.915667300Z,0.614,0,PASS
V_ok,13,2026-09-25T08:28:37.065227500Z,2026-09-25T08:28:37.662263200Z,0.596,0,PASS
V_ok,14,2026-09-25T08:28:37.803819600Z,2026-09-25T08:28:38.414644000Z,0.610,0,PASS
V_ok,15,2026-09-25T08:28:38.563969200Z,2026-09-25T08:28:39.166292100Z,0.602,0,PASS
V_ok,16,2026-09-25T08:28:39.308408800Z,2026-09-25T08:28:39.908819000Z,0.600,0,PASS
V_ok,17,2026-09-25T08:28:40.061281100Z,2026-09-25T08:28:40.666598300Z,0.605,0,PASS
V_ok,18,2026-09-25T08:28:40.807412200Z,2026-09-25T08:28:41.416914400Z,0.609,0,PASS
V_ok,19,2026-09-25T08:28:41.560390200Z,2026-09-25T08:28:42.128636200Z,0.567,0,PASS
V_ok,20,2026-09-25T08:28:42.271356500Z,2026-09-25T08:28:42.849249500Z,0.577,0,PASS
