subject,block,batch,matched_block_id,profile,variant,policy,final_status,warning,decision_rule,attempts_consumed,consumed_attempt_ids,research_only_attempt_ids,prefix_categories,S,E,M,N,prefix_elapsed_s,prefix_capacity_vcpu_h,indeterminate_reason
etcd5509,2,A,c1v1-etcd5509-b02,R,V_bad,P3-retain,ACCEPT,,P3 decision; flag accept after failure,1,c1v1-measured-etcd5509-b02-R-bad-a1,c1v1-measured-etcd5509-b02-R-bad-a2 c1v1-measured-etcd5509-b02-R-bad-a3,PASS,0,0,0,,0.499,0.013819,
etcd5509,2,A,c1v1-etcd5509-b02,R,V_ok,P3-retain,ACCEPT,,P3 decision; flag accept after failure,1,c1v1-measured-etcd5509-b02-R-ok-a1,c1v1-measured-etcd5509-b02-R-ok-a2 c1v1-measured-etcd5509-b02-R-ok-a3,PASS,,,,0,0.478,0.013874,
etcd5509,2,A,c1v1-etcd5509-b02,L,V_bad,P1,BLOCK,,first attempt only,1,c1v1-measured-etcd5509-b02-L-bad-a1,c1v1-measured-etcd5509-b02-L-bad-a2 c1v1-measured-etcd5509-b02-L-bad-a3,FOCAL_DEFECT_WITNESS,1,1,0,,42.101,0.02477,
etcd5509,2,A,c1v1-etcd5509-b02,L,V_ok,P1,ACCEPT,,first attempt only,1,c1v1-measured-etcd5509-b02-L-ok-a1,c1v1-measured-etcd5509-b02-L-ok-a2 c1v1-measured-etcd5509-b02-L-ok-a3,PASS,,,,0,0.482,0.00168,
etcd5509,2,A,c1v1-etcd5509-b02,L,V_bad,P3,BLOCK,,"accept on first zero, block after 3 nonzero",3,c1v1-measured-etcd5509-b02-L-bad-a1 c1v1-measured-etcd5509-b02-L-bad-a2 c1v1-measured-etcd5509-b02-L-bad-a3,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,1,1,0,,126.387,0.074345,
etcd5509,2,A,c1v1-etcd5509-b02,L,V_ok,P3,ACCEPT,,"accept on first zero, block after 3 nonzero",1,c1v1-measured-etcd5509-b02-L-ok-a1,c1v1-measured-etcd5509-b02-L-ok-a2 c1v1-measured-etcd5509-b02-L-ok-a3,PASS,,,,0,0.482,0.00168,
etcd5509,2,A,c1v1-etcd5509-b02,L,V_bad,P3-retain,BLOCK,,P3 decision; flag accept after failure,3,c1v1-measured-etcd5509-b02-L-bad-a1 c1v1-measured-etcd5509-b02-L-bad-a2 c1v1-measured-etcd5509-b02-L-bad-a3,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,1,1,0,,126.387,0.074345,
etcd5509,2,A,c1v1-etcd5509-b02,L,V_ok,P3-retain,ACCEPT,,P3 decision; flag accept after failure,1,c1v1-measured-etcd5509-b02-L-ok-a1,c1v1-measured-etcd5509-b02-L-ok-a2 c1v1-measured-etcd5509-b02-L-ok-a3,PASS,,,,0,0.482,0.00168,
etcd5509,3,A,c1v1-etcd5509-b03,R,V_bad,P1,BLOCK,,first attempt only,1,c1v1-measured-etcd5509-b03-R-bad-a1,c1v1-measured-etcd5509-b03-R-bad-a2 c1v1-measured-etcd5509-b03-R-bad-a3,FOCAL_DEFECT_WITNESS,1,1,0,,42.128,0.198368,
etcd5509,3,A,c1v1-etcd5509-b03,R,V_ok,P1,ACCEPT,,first attempt only,1,c1v1-measured-etcd5509-b03-R-ok-a1,c1v1-measured-etcd5509-b03-R-ok-a2 c1v1-measured-etcd5509-b03-R-ok-a3,PASS,,,,0,0.494,0.013822,
etcd5509,3,A,c1v1-etcd5509-b03,R,V_bad,P3,BLOCK,,"accept on first zero, block after 3 nonzero",3,c1v1-measured-etcd5509-b03-R-bad-a1 c1v1-measured-etcd5509-b03-R-bad-a2 c1v1-measured-etcd5509-b03-R-bad-a3,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,1,1,0,,126.417,0.595662,
etcd5509,3,A,c1v1-etcd5509-b03,R,V_ok,P3,ACCEPT,,"accept on first zero, block after 3 nonzero",1,c1v1-measured-etcd5509-b03-R-ok-a1,c1v1-measured-etcd5509-b03-R-ok-a2 c1v1-measured-etcd5509-b03-R-ok-a3,PASS,,,,0,0.494,0.013822,
etcd5509,3,A,c1v1-etcd5509-b03,R,V_bad,P3-retain,BLOCK,,P3 decision; flag accept after failure,3,c1v1-measured-etcd5509-b03-R-bad-a1 c1v1-measured-etcd5509-b03-R-bad-a2 c1v1-measured-etcd5509-b03-R-bad-a3,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,1,1,0,,126.417,0.595662,
etcd5509,3,A,c1v1-etcd5509-b03,R,V_ok,P3-retain,ACCEPT,,P3 decision; flag accept after failure,1,c1v1-measured-etcd5509-b03-R-ok-a1,c1v1-measured-etcd5509-b03-R-ok-a2 c1v1-measured-etcd5509-b03-R-ok-a3,PASS,,,,0,0.494,0.013822,
etcd5509,3,A,c1v1-etcd5509-b03,L,V_bad,P1,BLOCK,,first attempt only,1,c1v1-measured-etcd5509-b03-L-bad-a1,c1v1-measured-etcd5509-b03-L-bad-a2 c1v1-measured-etcd5509-b03-L-bad-a3,FOCAL_DEFECT_WITNESS,1,1,0,,42.058,0.024742,
etcd5509,3,A,c1v1-etcd5509-b03,L,V_ok,P1,ACCEPT,,first attempt only,1,c1v1-measured-etcd5509-b03-L-ok-a1,c1v1-measured-etcd5509-b03-L-ok-a2 c1v1-measured-etcd5509-b03-L-ok-a3,PASS,,,,0,0.467,0.001712,
etcd5509,3,A,c1v1-etcd5509-b03,L,V_bad,P3,BLOCK,,"accept on first zero, block after 3 nonzero",3,c1v1-measured-etcd5509-b03-L-bad-a1 c1v1-measured-etcd5509-b03-L-bad-a2 c1v1-measured-etcd5509-b03-L-bad-a3,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,1,1,0,,126.186,0.074232,
etcd5509,3,A,c1v1-etcd5509-b03,L,V_ok,P3,ACCEPT,,"accept on first zero, block after 3 nonzero",1,c1v1-measured-etcd5509-b03-L-ok-a1,c1v1-measured-etcd5509-b03-L-ok-a2 c1v1-measured-etcd5509-b03-L-ok-a3,PASS,,,,0,0.467,0.001712,
etcd5509,3,A,c1v1-etcd5509-b03,L,V_bad,P3-retain,BLOCK,,P3 decision; flag accept after failure,3,c1v1-measured-etcd5509-b03-L-bad-a1 c1v1-measured-etcd5509-b03-L-bad-a2 c1v1-measured-etcd5509-b03-L-bad-a3,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,1,1,0,,126.186,0.074232,
etcd5509,3,A,c1v1-etcd5509-b03,L,V_ok,P3-retain,ACCEPT,,P3 decision; flag accept after failure,1,c1v1-measured-etcd5509-b03-L-ok-a1,c1v1-measured-etcd5509-b03-L-ok-a2 c1v1-measured-etcd5509-b03-L-ok-a3,PASS,,,,0,0.467,0.001712,
etcd5509,4,A,c1v1-etcd5509-b04,R,V_bad,P1,BLOCK,,first attempt only,1,c1v1-measured-etcd5509-b04-R-bad-a1,c1v1-measured-etcd5509-b04-R-bad-a2 c1v1-measured-etcd5509-b04-R-bad-a3,FOCAL_DEFECT_WITNESS,1,1,0,,42.149,0.198367,
etcd5509,4,A,c1v1-etcd5509-b04,R,V_ok,P1,ACCEPT,,first attempt only,1,c1v1-measured-etcd5509-b04-R-ok-a1,c1v1-measured-etcd5509-b04-R-ok-a2 c1v1-measured-etcd5509-b04-R-ok-a3,PASS,,,,0,0.504,0.013914,
etcd5509,4,A,c1v1-etcd5509-b04,R,V_bad,P3,BLOCK,,"accept on first zero, block after 3 nonzero",3,c1v1-measured-etcd5509-b04-R-bad-a1 c1v1-measured-etcd5509-b04-R-bad-a2 c1v1-measured-etcd5509-b04-R-bad-a3,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,1,1,0,,126.269,0.594131,
etcd5509,4,A,c1v1-etcd5509-b04,R,V_ok,P3,ACCEPT,,"accept on first zero, block after 3 nonzero",1,c1v1-measured-etcd5509-b04-R-ok-a1,c1v1-measured-etcd5509-b04-R-ok-a2 c1v1-measured-etcd5509-b04-R-ok-a3,PASS,,,,0,0.504,0.013914,
