subject,block,batch,matched_block_id,profile,variant,policy,final_status,warning,decision_rule,attempts_consumed,consumed_attempt_ids,research_only_attempt_ids,prefix_categories,S,E,M,N,prefix_elapsed_s,prefix_capacity_vcpu_h,indeterminate_reason
etcd5509,4,A,c1v1-etcd5509-b04,R,V_bad,P3-retain,BLOCK,,P3 decision; flag accept after failure,3,c1v1-measured-etcd5509-b04-R-bad-a1 c1v1-measured-etcd5509-b04-R-bad-a2 c1v1-measured-etcd5509-b04-R-bad-a3,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,1,1,0,,126.269,0.594131,
etcd5509,4,A,c1v1-etcd5509-b04,R,V_ok,P3-retain,ACCEPT,,P3 decision; flag accept after failure,1,c1v1-measured-etcd5509-b04-R-ok-a1,c1v1-measured-etcd5509-b04-R-ok-a2 c1v1-measured-etcd5509-b04-R-ok-a3,PASS,,,,0,0.504,0.013914,
etcd5509,4,A,c1v1-etcd5509-b04,L,V_bad,P1,BLOCK,,first attempt only,1,c1v1-measured-etcd5509-b04-L-bad-a1,c1v1-measured-etcd5509-b04-L-bad-a2 c1v1-measured-etcd5509-b04-L-bad-a3,FOCAL_DEFECT_WITNESS,1,1,0,,42.06,0.024703,
etcd5509,4,A,c1v1-etcd5509-b04,L,V_ok,P1,ACCEPT,,first attempt only,1,c1v1-measured-etcd5509-b04-L-ok-a1,c1v1-measured-etcd5509-b04-L-ok-a2 c1v1-measured-etcd5509-b04-L-ok-a3,PASS,,,,0,0.542,0.001758,
etcd5509,4,A,c1v1-etcd5509-b04,L,V_bad,P3,ACCEPT,,"accept on first zero, block after 3 nonzero",3,c1v1-measured-etcd5509-b04-L-bad-a1 c1v1-measured-etcd5509-b04-L-bad-a2 c1v1-measured-etcd5509-b04-L-bad-a3,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | PASS,0,1,1,,84.433,0.051039,
etcd5509,4,A,c1v1-etcd5509-b04,L,V_ok,P3,ACCEPT,,"accept on first zero, block after 3 nonzero",1,c1v1-measured-etcd5509-b04-L-ok-a1,c1v1-measured-etcd5509-b04-L-ok-a2 c1v1-measured-etcd5509-b04-L-ok-a3,PASS,,,,0,0.542,0.001758,
etcd5509,4,A,c1v1-etcd5509-b04,L,V_bad,P3-retain,ACCEPT,ACCEPT_WITH_PRIOR_FAILURE,P3 decision; flag accept after failure,3,c1v1-measured-etcd5509-b04-L-bad-a1 c1v1-measured-etcd5509-b04-L-bad-a2 c1v1-measured-etcd5509-b04-L-bad-a3,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | PASS,0,1,1,,84.433,0.051039,
etcd5509,4,A,c1v1-etcd5509-b04,L,V_ok,P3-retain,ACCEPT,,P3 decision; flag accept after failure,1,c1v1-measured-etcd5509-b04-L-ok-a1,c1v1-measured-etcd5509-b04-L-ok-a2 c1v1-measured-etcd5509-b04-L-ok-a3,PASS,,,,0,0.542,0.001758,
etcd5509,5,A,c1v1-etcd5509-b05,R,V_bad,P1,BLOCK,,first attempt only,1,c1v1-measured-etcd5509-b05-R-bad-a1,c1v1-measured-etcd5509-b05-R-bad-a2 c1v1-measured-etcd5509-b05-R-bad-a3,FOCAL_DEFECT_WITNESS,1,1,0,,42.081,0.198033,
etcd5509,5,A,c1v1-etcd5509-b05,R,V_ok,P1,ACCEPT,,first attempt only,1,c1v1-measured-etcd5509-b05-R-ok-a1,c1v1-measured-etcd5509-b05-R-ok-a2 c1v1-measured-etcd5509-b05-R-ok-a3,PASS,,,,0,0.499,0.013873,
etcd5509,5,A,c1v1-etcd5509-b05,R,V_bad,P3,ACCEPT,,"accept on first zero, block after 3 nonzero",2,c1v1-measured-etcd5509-b05-R-bad-a1 c1v1-measured-etcd5509-b05-R-bad-a2,c1v1-measured-etcd5509-b05-R-bad-a3,FOCAL_DEFECT_WITNESS | PASS,0,1,1,,42.48,0.211431,
etcd5509,5,A,c1v1-etcd5509-b05,R,V_ok,P3,ACCEPT,,"accept on first zero, block after 3 nonzero",1,c1v1-measured-etcd5509-b05-R-ok-a1,c1v1-measured-etcd5509-b05-R-ok-a2 c1v1-measured-etcd5509-b05-R-ok-a3,PASS,,,,0,0.499,0.013873,
etcd5509,5,A,c1v1-etcd5509-b05,R,V_bad,P3-retain,ACCEPT,ACCEPT_WITH_PRIOR_FAILURE,P3 decision; flag accept after failure,2,c1v1-measured-etcd5509-b05-R-bad-a1 c1v1-measured-etcd5509-b05-R-bad-a2,c1v1-measured-etcd5509-b05-R-bad-a3,FOCAL_DEFECT_WITNESS | PASS,0,1,1,,42.48,0.211431,
etcd5509,5,A,c1v1-etcd5509-b05,R,V_ok,P3-retain,ACCEPT,,P3 decision; flag accept after failure,1,c1v1-measured-etcd5509-b05-R-ok-a1,c1v1-measured-etcd5509-b05-R-ok-a2 c1v1-measured-etcd5509-b05-R-ok-a3,PASS,,,,0,0.499,0.013873,
etcd5509,5,A,c1v1-etcd5509-b05,L,V_bad,P1,BLOCK,,first attempt only,1,c1v1-measured-etcd5509-b05-L-bad-a1,c1v1-measured-etcd5509-b05-L-bad-a2 c1v1-measured-etcd5509-b05-L-bad-a3,FOCAL_DEFECT_WITNESS,1,1,0,,42.131,0.024778,
etcd5509,5,A,c1v1-etcd5509-b05,L,V_ok,P1,ACCEPT,,first attempt only,1,c1v1-measured-etcd5509-b05-L-ok-a1,c1v1-measured-etcd5509-b05-L-ok-a2 c1v1-measured-etcd5509-b05-L-ok-a3,PASS,,,,0,0.584,0.001776,
etcd5509,5,A,c1v1-etcd5509-b05,L,V_bad,P3,BLOCK,,"accept on first zero, block after 3 nonzero",3,c1v1-measured-etcd5509-b05-L-bad-a1 c1v1-measured-etcd5509-b05-L-bad-a2 c1v1-measured-etcd5509-b05-L-bad-a3,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,1,1,0,,126.067,0.07415,
