cycle,partition,k,apfd_hist,apfd_t0,diff
477,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.980392,0.980392,0.000000
477,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.980392,0.970588,-0.009804
477,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest",2,0.970588,0.980392,0.009804
477,org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest,3,0.970588,0.970588,0.000000
478,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",1,0.990196,0.990196,0.000000
478,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.970588,0.980392,0.009804
478,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.980392,0.980392,0.000000
478,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest",2,0.980392,0.970588,-0.009804
478,org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest,3,0.970588,0.970588,0.000000
480,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",1,0.990196,0.990196,0.000000
480,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.970588,0.980392,0.009804
