episode,wall_h,vcpu_h_16,vcpu_h_2,vcpu_h_1
etcd5509,3.246,51.94,6.49,3.25
etcd7492,0.712,11.39,1.42,0.71
grpc2391,1.877,30.04,3.75,1.88
total,5.835,93.37,11.67,5.84
